date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-07-05","187.32","192.26","187.32","191.96","191.28","14303400","14303400","4.64","2.48","189.715","July 05, 24","0.0248",
"2024-07-03","186.3","187.62","185.39","187.39","186.72","7409106","7409106","1.09","0.58508","186.675","July 03, 24","0.0058508",
"2024-07-02","183.47","186.95","183.06","186.61","185.95","12555545","12555545","3.14","1.71","185.0225","July 02, 24","0.0171",
"2024-07-01","184.48","185.34","182.73","184.49","183.84","11815900","11815900","0.01","0.00542064","184.26","July 01, 24","0.0000542064",
"2024-06-28","185.72","186.58","183.33","183.42","182.77","23032400","23032400","-2.3","-1.24","184.7625","June 28, 24","-0.0124",
"2024-06-27","185.65","187.5","185.45","186.86","186.2","13025700","13025700","1.22","0.65176","186.365","June 27, 24","0.0065176",
"2024-06-26","184.2","185.93","183.99","185.37","184.71","13375715","13375715","1.17","0.63518","184.8725","June 26, 24","0.0063518",
"2024-06-25","181.15","185.75","181.11","185.58","184.92","18917734","18917734","4.44","2.45","183.3975","June 25, 24","0.0245",
"2024-06-24","181.28","182.08","180.23","180.79","180.15","18198300","18198300","-0.49","-0.2703","181.095","June 24, 24","-0.002703",
"2024-06-21","178.49","182.51","178.06","180.26","179.62","59728019","59728019","1.77","0.99165","179.83","June 21, 24","0.0099165",
"2024-06-20","176.71","178.74","176.46","177.71","177.08","16753200","16753200","1","0.5659","177.405","June 20, 24","0.005659",
"2024-06-18","178.79","178.91","175.62","176.45","175.82","15640300","15640300","-2.34","-1.31","177.4425","June 18, 24","-0.0131",
"2024-06-17","176.98","179.92","176.49","178.78","178.15","15272900","15272900","1.8","1.02","178.0425","June 17, 24","0.0102",
"2024-06-14","175.85","178.73","175.85","178.37","177.74","12361600","12361600","2.52","1.43","177.2","June 14, 24","0.0143",
"2024-06-13","177.84","178.51","176.66","176.74","176.11","15956941","15956941","-1.1","-0.61853","177.4375","June 13, 24","-0.0061853",
"2024-06-12","179.75","182.08","177.78","179.56","178.92","18600421","18600421","-0.19","-0.1057","179.7925","June 12, 24","-0.001057",
"2024-06-11","177.72","178.39","175.44","178.19","177.56","14402401","14402401","0.47","0.26446","177.435","June 11, 24","0.0026446",
"2024-06-10","176.45","178.47","174.38","176.63","176","17122247","17122247","0.18","0.10201","176.4825","June 10, 24","0.0010201",
"2024-06-07","178.46","179.42","175.79","175.95","175.13","14716300","14716300","-2.51","-1.41","177.405","June 07, 24","-0.0141",
"2024-06-06","177.43","178.71","177.21","178.35","177.52","14255818","14255818","0.92","0.51851","177.925","June 06, 24","0.0051851",
"2024-06-05","176.54","177.97","175.29","177.07","176.24","15233900","15233900","0.535","0.30022","176.7175","June 05, 24","0.0030022",
"2024-06-04","174.45","175.19","173.22","175.13","174.31","14066602","14066602","0.68","0.3898","174.4975","June 04, 24","0.003898",
"2024-06-03","173.88","175.86","172.45","174.42","173.61","20742800","20742800","0.54","0.31056","174.1525","June 03, 24","0.0031056",
"2024-05-31","173.4","174.42","170.97","173.96","173.15","28085200","28085200","0.56","0.32295","173.1875","May 31, 24","0.0032295",
"2024-05-30","176.69","176.69","173.23","173.56","172.75","18844036","18844036","-3.13","-1.77","175.0425","May 30, 24","-0.0177",
"2024-05-29","176.81","178.23","176.26","177.4","176.57","15023847","15023847","0.59","0.33369","177.175","May 29, 24","0.0033369",
"2024-05-28","175.74","178.51","175.68","178.02","177.19","15655340","15655340","2.28","1.3","176.9875","May 28, 24","0.013",
"2024-05-24","176.52","177.3","175.2","176.33","175.51","11403560","11403560","-0.19","-0.10764","176.3375","May 24, 24","-0.0010764",
"2024-05-23","178.78","179.91","174.54","175.06","174.24","14928400","14928400","-3.72","-2.08","177.0725","May 23, 24","-0.0208",
"2024-05-22","178.4","178.85","176.78","178","177.17","16189404","16189404","-0.4","-0.22422","178.0075","May 22, 24","-0.0022422",
"2024-05-21","178.4","179.82","177.31","179.54","178.7","14706021","14706021","1.14","0.63901","178.7675","May 21, 24","0.0063901",
"2024-05-20","177.31","179.95","177.23","178.46","177.63","17495122","17495122","1.15","0.64858","178.2375","May 20, 24","0.0064858",
"2024-05-17","175.55","177.5","174.98","177.29","176.46","16546400","16546400","1.74","0.99117","176.33","May 17, 24","0.0099117",
"2024-05-16","174.6","176.34","174.05","175.43","174.61","17247311","17247311","0.83","0.47537","175.105","May 16, 24","0.0047537",
"2024-05-15","172.3","174.05","172.03","173.88","173.07","20958245","20958245","1.58","0.91701","173.065","May 15, 24","0.0091701",
