date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2023-05-23","360.24","364.17","354.31","355.99","355.98999","6866078","6866100","-4.25","-1.18","358.43","May 23, 23","-0.0118",
"2023-05-22","365.36","372.01","362.5","363.01","363.01","5406420","5406400","-2.35","-0.6432","365.81","May 22, 23","-0.006432",
"2023-05-19","369.86","369.99","363.81","365.36","365.359985","7822203","7850900","-4.5","-1.22","365.97","May 19, 23","-0.0122",
"2023-05-18","347.25","375.87","346.37","371.29","371.29","20925235","20925200","24.04","6.92","367.33","May 18, 23","0.0692",
"2023-05-17","331.76","341.38","329.615","339.96","339.959991","3958807","3958800","8.2","2.47","338.38","May 17, 23","0.0247",
"2023-05-16","334","335.17","331.91","333.75","333.75","3334863","3332200","-0.25","-0.0748503","333.46","May 16, 23","-0.000748503",
"2023-05-15","340.62","341.9","335.54","335.89","335.89","3652970","3653000","-4.73","-1.39","336.94","May 15, 23","-0.0139",
"2023-05-12","344.76","348.1664","337.3637","339.89","339.89","6082360","6079900","-4.87","-1.41","341.58","May 12, 23","-0.0141",
"2023-05-11","334.98","345.47","331.84","344.76","344.76","8033531","8033500","9.78","2.92","341.02","May 11, 23","0.0292",
"2023-05-10","335.21","337.11","329.51","335.42","335.42","4281397","4289900","0.21","0.0626473","333.99","May 10, 23","0.000626473",
"2023-05-09","330.67","336.32","329.7401","332.14","332.14","5544852","5544900","1.47","0.44455","333.19","May 09, 23","0.0044455",
"2023-05-08","322.99","332.56","322.03","331.21","331.209991","5488593","5488600","8.22","2.54","330.27","May 08, 23","0.0254",
"2023-05-05","323.61","324.15","319.4401","322.76","322.76","3990637","3988600","-0.85","-0.26266","322.2","May 05, 23","-0.0026266",
"2023-05-04","319.01","323.61","317.95","320.78","320.779999","3879657","3879700","1.77","0.55484","320.88","May 04, 23","0.0055484",
"2023-05-03","317.55","324.62","315.85","319.3","319.299988","5064057","5064100","1.75","0.55109","321.04","May 03, 23","0.0055109",
"2023-05-02","325","326.07","315.62","317.55","317.549988","4315212","4318600","-7.45","-2.29","318.93","May 02, 23","-0.0229",
"2023-05-01","329.435","331.23","318.09","324.12","324.119995","5338904","5341500","-5.315","-1.61","323.32","May 01, 23","-0.0161",
