date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-08-29","173.22","174.29","170.81","172.12","172.12","26407815","26407815","-1.1","-0.63503","172.61","August 29, 24","-0.0063503",
"2024-08-28","173.69","173.69","168.92","170.8","170.8","29045025","29045025","-2.89","-1.66","171.775","August 28, 24","-0.0166",
"2024-08-27","174.15","174.89","172.25","173.12","173.12","29842000","29842000","-1.03","-0.59144","173.6025","August 27, 24","-0.0059144",
"2024-08-26","176.7","177.47","174.3","175.5","175.5","22366236","22366236","-1.2","-0.67912","175.9925","August 26, 24","-0.0067912",
"2024-08-23","177.34","178.97","175.24","177.04","177.04","29150100","29150100","-0.3","-0.16917","177.1475","August 23, 24","-0.0016917",
"2024-08-22","181.38","181.47","175.68","176.13","176.13","32047500","32047500","-5.25","-2.89","178.665","August 22, 24","-0.0289",
"2024-08-21","179.92","182.39","178.89","180.11","180.11","35599120","35599120","0.19","0.1056","180.3275","August 21, 24","0.001056",
"2024-08-20","177.92","179.01","177.43","178.88","178.88","26255204","26255204","0.96","0.53957","178.31","August 20, 24","0.0053957",
"2024-08-19","177.64","178.3","176.16","178.22","178.22","31129807","31129807","0.58","0.3265","177.58","August 19, 24","0.003265",
"2024-08-16","177.04","178.34","176.26","177.06","177.06","31489200","31489200","0.02","0.01129688","177.175","August 16, 24","0.0001129688",
"2024-08-15","174.86","177.91","173.99","177.59","177.59","51698513","51698513","2.73","1.56","176.0875","August 15, 24","0.0156",
"2024-08-14","172.11","172.28","168.86","170.1","170.1","28843804","28843804","-2.01","-1.17","170.8375","August 14, 24","-0.0117",
"2024-08-13","167.81","171.04","167.1","170.23","170.23","39237915","39237915","2.42","1.44","169.045","August 13, 24","0.0144",
"2024-08-12","168.14","168.55","166.11","166.8","166.8","30072800","30072800","-1.34","-0.79695","167.4","August 12, 24","-0.0079695",
"2024-08-09","166.4","168.55","165.85","166.94","166.94","36401049","36401049","0.54","0.32452","166.935","August 09, 24","0.0032452",
"2024-08-08","165.17","166.69","162.55","165.8","165.8","44616206","44616206","0.635","0.38143","165.0525","August 08, 24","0.0038143",
"2024-08-07","166.55","167.58","161.43","162.77","162.77","48408240","48408240","-3.78","-2.27","164.5825","August 07, 24","-0.0227",
"2024-08-06","161.71","165.08","158.54","161.93","161.93","59950830","59950830","0.22","0.13605","161.815","August 06, 24","0.0013605",
"2024-08-05","154.21","162.96","151.61","161.02","161.02","83149437","83149437","6.81","4.42","157.45","August 05, 24","0.0442",
"2024-08-02","166.75","168.77","160.55","167.9","167.9","141448400","141448400","1.15","0.68966","165.9925","August 02, 24","0.0068966",
"2024-08-01","189.29","190.6","181.87","184.07","184.07","70435635","70435635","-5.22","-2.76","186.4575","August 01, 24","-0.0276",
"2024-07-31","185.05","187.94","184.46","186.98","186.98","41667326","41667326","1.93","1.04","186.1075","July 31, 24","0.0104",
"2024-07-30","184.72","185.86","179.38","181.71","181.71","39508600","39508600","-3.01","-1.63","182.9175","July 30, 24","-0.0163",
"2024-07-29","183.84","184.75","182.38","183.2","183.2","33270123","33270123","-0.64","-0.34813","183.5425","July 29, 24","-0.0034813",
"2024-07-26","180.39","183.19","180.24","182.5","182.5","29506000","29506000","2.11","1.17","181.58","July 26, 24","0.0117",
"2024-07-25","182.91","183.9","176.8","179.85","179.85","44464200","44464200","-3.06","-1.67","180.865","July 25, 24","-0.0167",
"2024-07-24","183.2","185.45","180.41","180.83","180.83","41532400","41532400","-2.37","-1.29","182.4725","July 24, 24","-0.0129",
"2024-07-23","184.1","189.39","183.56","186.41","186.41","47537700","47537700","2.31","1.25","185.865","July 23, 24","0.0125",
"2024-07-22","185","185.06","182.48","182.55","182.55","39931923","39931923","-2.45","-1.32","183.7725","July 22, 24","-0.0132",
"2024-07-19","181.14","184.93","180.11","183.13","183.13","43081829","43081829","1.99","1.1","182.3275","July 19, 24","0.011",
"2024-07-18","189.59","189.68","181.45","183.75","183.75","51043626","51043626","-5.84","-3.08","186.1175","July 18, 24","-0.0308",
"2024-07-17","191.35","191.58","185.99","187.93","187.93","48076139","48076139","-3.42","-1.79","189.2125","July 17, 24","-0.0179",
"2024-07-16","195.59","196.62","192.24","193.02","193.02","33994714","33994714","-2.57","-1.31","194.3675","July 16, 24","-0.0131",
"2024-07-15","194.56","196.19","190.83","192.72","192.72","40683227","40683227","-1.84","-0.94572","193.575","July 15, 24","-0.0094572",
"2024-07-12","194.8","196.47","193.83","194.49","194.49","30598525","30598525","-0.31","-0.15914","194.8975","July 12, 24","-0.0015914",
"2024-07-11","200.09","200.27","192.86","195.05","195.05","44565041","44565041","-5.04","-2.52","197.0675","July 11, 24","-0.0252",
"2024-07-10","200","200.11","197.69","199.79","199.79","32883753","32883753","-0.205","-0.105","199.3975","July 10, 24","-0.00105",
"2024-07-09","199.4","200.57","199.05","199.34","199.34","32756736","32756736","-0.06","-0.03009027","199.59","July 09, 24","-0.0003009027",
"2024-07-08","200.04","201.2","197.96","199.29","199.29","34767261","34767261","-0.75","-0.37493","199.6225","July 08, 24","-0.0037493",
"2024-07-05","198.65","200.55","198.17","200","200","39858885","39858885","1.35","0.67959","199.3425","July 05, 24","0.0067959",
"2024-07-03","199.94","200.03","196.76","197.59","197.59","31597926","31597926","-2.35","-1.18","198.58","July 03, 24","-0.0118",
"2024-07-02","197.28","200.43","195.93","200","200","45600013","45600013","2.72","1.38","198.41","July 02, 24","0.0138",
"2024-07-01","193.49","198.3","192.82","197.2","197.2","41192011","41192011","3.71","1.92","195.4525","July 01, 24","0.0192",
"2024-06-28","197.73","198.85","192.5","193.25","193.25","76930192","76930192","-4.48","-2.27","195.5825","June 28, 24","-0.0227",
"2024-06-27","195.01","199.84","194.2","197.85","197.85","74397491","74397491","2.84","1.46","196.725","June 27, 24","0.0146",
"2024-06-26","186.92","194.8","186.26","193.61","193.61","65103893","65103893","6.69","3.58","190.3975","June 26, 24","0.0358",
"2024-06-25","186.81","188.84","185.42","186.34","186.34","45898475","45898475","-0.47","-0.25159","186.8525","June 25, 24","-0.0025159",
"2024-06-24","189.33","191","185.33","185.57","185.57","50610379","50610379","-3.76","-1.99","187.8075","June 24, 24","-0.0199",
"2024-06-21","187.8","189.28","185.86","189.08","189.08","72931754","72931754","1.28","0.68158","188.005","June 21, 24","0.0068158",
"2024-06-20","182.91","186.51","182.72","186.1","186.1","44726779","44726779","3.19","1.74","184.56","June 20, 24","0.0174",
"2024-06-18","183.74","184.29","181.43","182.81","182.81","36659157","36659157","-0.925","-0.50615","183.0675","June 18, 24","-0.0050615",
"2024-06-17","182.52","185","181.22","184.06","184.06","35601907","35601907","1.54","0.84374","183.2","June 17, 24","0.0084374",
"2024-06-14","183.08","183.72","182.23","183.66","183.66","25456410","25456410","0.58","0.3168","183.1725","June 14, 24","0.003168",
"2024-06-13","186.09","187.67","182.67","183.83","183.83","39721545","39721545","-2.26","-1.21","185.065","June 13, 24","-0.0121",
"2024-06-12","188.02","188.35","185.43","186.89","186.89","33984216","33984216","-1.12","-0.601","187.1725","June 12, 24","-0.00601",
"2024-06-11","187.06","187.77","184.54","187.23","187.23","27265108","27265108","0.17","0.09087993","186.65","June 11, 24","0.0009087993",
"2024-06-10","184.07","187.23","183.79","187.06","187.06","34494498","34494498","2.99","1.62","185.5375","June 10, 24","0.0162",
"2024-06-07","184.9","186.29","183.36","184.3","184.3","28021473","28021473","-0.6","-0.3245","184.7125","June 07, 24","-0.003245",
"2024-06-06","181.75","185","181.49","185","185","31371151","31371151","3.25","1.79","183.31","June 06, 24","0.0179",
"2024-06-05","180.1","181.5","178.75","181.28","181.28","32116394","32116394","1.18","0.65519","180.4075","June 05, 24","0.0065519",
"2024-06-04","177.64","179.82","176.44","179.34","179.34","27198388","27198388","1.7","0.95699","178.31","June 04, 24","0.0095699",
"2024-06-03","177.7","178.7","175.92","178.34","178.34","30786640","30786640","0.64","0.36016","177.665","June 03, 24","0.0036016",
"2024-05-31","178.3","179.21","173.87","176.44","176.44","58903939","58903939","-1.86","-1.04","176.955","May 31, 24","-0.0104",
"2024-05-30","181.31","181.34","178.36","179.32","179.32","29249229","29249229","-1.99","-1.1","180.0825","May 30, 24","-0.011",
"2024-05-29","181.7","184.08","181.55","182.02","182.02","32009294","32009294","0.32","0.17611","182.3375","May 29, 24","0.0017611",
"2024-05-28","179.93","182.24","179.49","182.15","182.15","29926963","29926963","2.22","1.23","180.9525","May 28, 24","0.0123",
"2024-05-24","181.65","182.44","180.3","180.75","180.75","27471640","27471640","-0.9","-0.49546","181.285","May 24, 24","-0.0049546",
"2024-05-23","183.66","184.76","180.08","181.05","181.05","33670173","33670173","-2.61","-1.42","182.3875","May 23, 24","-0.0142",
"2024-05-22","183.88","185.22","181.97","183.13","183.13","28148784","28148784","-0.75","-0.40787","183.55","May 22, 24","-0.0040787",
"2024-05-21","182.3","183.26","180.75","183.15","183.15","50839129","50839129","0.85","0.46626","182.365","May 21, 24","0.0046626",
"2024-05-20","184.34","186.67","183.28","183.54","183.54","30511768","30511768","-0.8","-0.43398","184.4575","May 20, 24","-0.0043398",
"2024-05-17","183.76","185.3","183.35","184.7","184.7","33175655","33175655","0.94","0.51154","184.2775","May 17, 24","0.0051154",
"2024-05-16","185.6","187.31","183.46","183.63","183.63","38834450","38834450","-1.97","-1.06","185","May 16, 24","-0.0106",
"2024-05-15","185.97","186.72","182.73","185.99","185.99","75459927","75459927","0.02","0.01075442","185.3525","May 15, 24","0.0001075442",
"2024-05-14","183.82","187.72","183.45","187.07","187.07","38698155","38698155","3.25","1.77","185.515","May 14, 24","0.0177",
"2024-05-13","188","188.31","185.36","186.57","186.57","24898613","24898613","-1.43","-0.76064","187.06","May 13, 24","-0.0076064",
"2024-05-10","189.16","189.89","186.93","187.48","187.48","34141771","34141771","-1.68","-0.88814","188.365","May 10, 24","-0.0088814",
"2024-05-09","188.88","191.7","187.44","189.5","189.5","43368377","43368377","0.62","0.32825","189.38","May 09, 24","0.0032825",
"2024-05-08","187.44","188.43","186.39","188","188","26136350","26136350","0.56","0.29876","187.565","May 08, 24","0.0029876",
"2024-05-07","188.92","189.94","187.31","188.76","188.76","34048902","34048902","-0.16","-0.08469193","188.7325","May 07, 24","-0.0008469193",
